customer_id,product_id,star_rating,review_date
1797882,B001ANOOOE,5,2015-08-31
18381298,B0016J22EQ,5,2015-08-31
19242472,B00HU6UQAG,5,2015-08-31
19551372,B002HWS7RM,5,2015-08-31
14802407,B00SM99KWU,5,2015-08-31
2909389,B000NYL1Z6,4,2015-08-31
19397215,B001SYWTFG,5,2015-08-31
3195210,B005F2EVMQ,5,2015-08-31
52216383,B00M1SUW7K,5,2015-08-31
10278216,B001KYQA1S,1,2015-08-31
24655453,B00SAQ9DZY,4,2015-08-31
30788223,B00HFQQ0VU,5,2015-08-31
11257536,B00PYL8MAA,4,2015-08-31
29605778,B00D9NV2D4,5,2015-08-31
41238422,B008Y9M412,5,2015-08-31
23620123,B00FWXBLHG,5,2015-08-31
25564245,B003KL8CB0,5,2015-08-31
801375,B006R2LNV0,5,2015-08-31
9478730,B00SMIIR0W,5,2015-08-31
18418407,B003UKKH6O,5,2015-08-31
42644737,B00PATJU8Y,3,2015-08-31
4224840,B00HDZGF4K,5,2015-08-31
49631440,B004QM0OJ0,4,2015-08-31
15548310,B000NL0T1G,5,2015-08-31
1778076,B004VM9JCS,5,2015-08-31
4028997,B004OHQR1Q,5,2015-08-31
41137196,B006MWL2ZM,2,2015-08-31
1778076,B00EMJMEFY,5,2015-08-31
22904338,B00DSYFYRE,5,2015-08-31
15848105,B00NL2AOPU,5,2015-08-31
106879,B004J2P6D6,4,2015-08-31
22393078,B00461F4PA,5,2015-08-31
15322085,B007ZN5ATQ,5,2015-08-31
36855756,B001BKR5X8,4,2015-08-31
11948473,B00B76ALVO,5,2015-08-31
18551811,B009ESL1SY,5,2015-08-31
39521197,B00YMMENPK,5,2015-08-31
91020,B00TR6HX76,5,2015-08-31
8573447,B004FAWBTO,5,2015-08-31
133323,B00JIMSQ5W,5,2015-08-31
45844443,B00O09E33C,5,2015-08-31
19396637,B00JNH8Z6W,5,2015-08-31
9295857,B00KA5R3KU,5,2015-08-31
20510361,B002WTCK50,5,2015-08-31
39205837,B00KYUXIOG,4,2015-08-31
37446839,B00QHLTBXI,5,2015-08-31
39447863,B007S69QAY,4,2015-08-31
5231055,B00PKIE760,3,2015-08-31
119673,B00B3CUA0E,5,2015-08-31
45101905,B00KCFAZTE,3,2015-08-31
18773689,B00112TIIQ,5,2015-08-31
27397579,B00W47D9K0,4,2015-08-31
1488387,B000NZAIC2,3,2015-08-31
32364447,B005CK3GIQ,5,2015-08-31
1488387,B000J3ZMQA,5,2015-08-31
13019751,B001HTB6PG,2,2015-08-31
25344238,B001ADSPT4,4,2015-08-31
34962480,B001ET77H0,1,2015-08-31
50628765,B00C2GNK02,1,2015-08-31
22094721,B00W2U437W,4,2015-08-31
294612,B00YQK1LVC,1,2015-08-31
12650290,B000FRWNL2,5,2015-08-31
9260638,B00KYUXIOG,3,2015-08-31
39668549,B00BEEK5II,5,2015-08-31
50541878,B00FBO8FCA,5,2015-08-31
11599505,B009MLSJ38,4,2015-08-31
44458172,B002JPJ2ZS,3,2015-08-31
51309613,B001AT00MI,3,2015-08-31
22716711,B00XWRPLMK,4,2015-08-31
7582510,B010FHRA4G,4,2015-08-31
26951431,B00THEGVCG,5,2015-08-31
13504631,B00TPEKNZY,5,2015-08-31
15405260,B00ZQDKDIU,5,2015-08-31
46277533,B004E9ERPM,3,2015-08-31
21453375,B0126XBPS4,5,2015-08-31
46129209,B00H9A40R8,4,2015-08-31
11192289,B00VXHY6KY,5,2015-08-31
38481152,B00VSN7CEU,5,2015-08-31
42846729,B0030GSEWC,3,2015-08-31
11470072,B004SE9J1K,5,2015-08-31
28106065,B004C0NVUA,4,2015-08-31
26599047,B00UQNM2SE,5,2015-08-31
823235,B00L0R5494,3,2015-08-31
10802999,B00XK1AH68,5,2015-08-31
19173052,B0019QXQGO,5,2015-08-31
42216739,B00LCMH2VK,5,2015-08-31
1122970,B004UZLOBA,5,2015-08-31
30688607,B000094ZDX,5,2015-08-31
3084759,B007G4TVI0,1,2015-08-31
49035365,B0062OF5L2,5,2015-08-31
22234474,B00B1RPQ14,5,2015-08-31
21959897,B00IMPUTGU,5,2015-08-31
13160570,B00KP5TS4Y,3,2015-08-31
31891249,B001ET76OO,5,2015-08-31
3258072,B00BOJD17U,5,2015-08-31
53047575,B00F0BK2BQ,1,2015-08-31
34681565,B00IUHQ90U,5,2015-08-31
45291781,B0126XBPS4,5,2015-08-31
41082473,B000VEPHYY,5,2015-08-31
26261812,B004Z209HS,5,2015-08-31
50380861,B001FWXMGG,5,2015-08-31
51517171,B003OXO61O,5,2015-08-31
46053231,B00OCJZ0GE,5,2015-08-31
42631152,B00GHODSES,5,2015-08-31
22933973,B00NQ7EXIO,5,2015-08-31
36803788,B005MYYRUI,5,2015-08-31
47485576,B003CTTZQQ,3,2015-08-31
21423557,B00AMYWH82,3,2015-08-31
1432550,B003JN6B44,3,2015-08-31
36475669,B001CSVWEM,2,2015-08-31
126519,B00M4OB3ME,2,2015-08-31
13296677,B00TKJFHQO,4,2015-08-31
37000337,B000PY6F6E,5,2015-08-31
20789642,B00PATJU8Y,4,2015-08-31
21423557,B005FM3QUE,3,2015-08-31
198425,B00JJ25Q5E,5,2015-08-31
24747434,B003ZS1O68,1,2015-08-31
45980078,B0094G3M6A,5,2015-08-31
2100798,B00GD0XW8S,1,2015-08-31
9817808,B002BUTCDI,5,2015-08-31
127128,B000GDC4JQ,5,2015-08-31
13443982,B00D879BFW,1,2015-08-31
11673124,B000W9LXEG,5,2015-08-31
32983165,B00FYJOQG6,4,2015-08-31
48852659,B00BZXCRFM,5,2015-08-31
20902863,B00C9GCMF4,5,2015-08-31
18088590,B00N4UXI6G,5,2015-08-31
22732054,B00LMIVLXY,1,2015-08-31
28886282,B00VF4LZFO,5,2015-08-31
28001210,B00ZJG05DM,5,2015-08-31
23621060,B000GF1E54,4,2015-08-31
49003504,B00LMIVLXY,4,2015-08-31
6359879,B00HKQERXI,4,2015-08-31
45849579,B003LSIV22,4,2015-08-31
43461626,B00ZB7Q092,5,2015-08-31
15914126,B0086I7AIS,3,2015-08-31
40751577,B00PBI1WUS,5,2015-08-31
44260919,B004AQ1EP0,5,2015-08-31
16381028,B00AIDDKXI,5,2015-08-31
51986975,B004IS73OG,5,2015-08-31
10465201,B002NYERPU,5,2015-08-31
24886075,B010VJOLRW,5,2015-08-31
1437630,B012Q4M3DO,5,2015-08-31
11543147,B008ND0RZY,5,2015-08-31
50844713,B00QW14BXI,5,2015-08-31
42872794,B00OE34FY6,5,2015-08-31
51821038,B00N30SE3E,5,2015-08-31
40322261,B00WH16SFQ,4,2015-08-31
318626,B00EJD8YLQ,5,2015-08-31
10579374,B000O3UC60,5,2015-08-31
13158551,B00GCR9A1A,5,2015-08-31
23679684,B00AN44OKA,5,2015-08-31
37974023,B0019U050U,2,2015-08-31
